year,microrregion_code,microrregion_name,uf,macroregion,homicide_count,population,homicide_rate_per_100k,percentile_unweighted,bubble_area_points2
2024,13009,Itacoatiara,AM,Norte,48,189588.0,25.31805810494335,70.60931899641577,25.2784
2024,11003,Ariquemes,RO,Norte,48,188703.0,25.436797507193845,70.78853046594982,25.1604
2024,28012,Boquim,SE,Nordeste,41,160045.0,25.617794995157613,70.96774193548387,21.339333333333332
2024,31061,Manhuaçu,MG,Sudeste,79,308027.0,25.64710236440312,71.14695340501792,41.07026666666667
2024,41019,Telêmaco Borba,PR,Sul,44,171558.0,25.6473029529372,71.32616487455198,22.8744
2024,27007,Traipu,AL,Nordeste,9,35065.0,25.66661913589049,71.50537634408602,4.675333333333334
2024,41014,Assaí,PR,Sul,17,66190.0,25.683638011784257,71.68458781362007,8.825333333333333
2024,51020,Tesouro,MT,Centro-Oeste,16,61654.0,25.95127647841178,71.86379928315412,8.220533333333334
2024,23020,Sertão de Inhamuns,CE,Nordeste,37,142523.0,25.96072212905987,72.04301075268818,19.003066666666665
2024,21001,Litoral Ocidental Maranhense,MA,Nordeste,47,180671.0,26.01413619230535,72.22222222222223,24.089466666666667
2024,24017,Macaíba,RN,Nordeste,98,376291.0,26.043673646194037,72.40143369175627,50.172133333333335
2024,26002,Salgueiro,PE,Nordeste,46,175092.0,26.271902771114615,72.58064516129032,23.3456
2024,51007,Sinop,MT,Centro-Oeste,74,279998.0,26.428760205430038,72.75985663082437,37.33306666666667
2024,29029,Itapetinga,BA,Nordeste,53,200122.0,26.48384485463867,72.93906810035843,26.682933333333335
2024,29028,Vitória da Conquista,BA,Nordeste,189,707359.0,26.71910585713902,73.11827956989248,94.31453333333333
2024,17008,Dianópolis,TO,Norte,31,115476.0,26.845405105822856,73.29749103942652,15.3968
2024,13005,Tefé,AM,Norte,30,111226.0,26.972110837394133,73.47670250896057,14.830133333333333
2024,32009,Vitória,ES,Sudeste,507,1871900.0,27.08478016988087,73.65591397849462,249.58666666666667
2024,22002,Litoral Piauiense,PI,Nordeste,93,342612.0,27.14440825190011,73.83512544802868,45.6816
2024,24003,Médio Oeste,RN,Nordeste,11,40429.0,27.208192139305943,74.01433691756273,5.390533333333333
2024,32006,Linhares,ES,Sudeste,103,378480.0,27.2141196364405,74.19354838709677,50.464
2024,35051,Guaratinguetá,SP,Sudeste,114,417253.0,27.321553110462958,74.37275985663082,55.63373333333333
2024,15019,Parauapebas,PA,Norte,125,453727.0,27.549605820239925,74.55197132616487,60.49693333333333
