crime,year,uf,reporting_status,months_present,months_numeric,count_reported,measurement_concept,value_field,raw_labels,definition_version_flag,comparability_class
Homicídio doloso,2021,AM,FULL_12_MONTHS,12,12,1464,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,AP,FULL_12_MONTHS,12,12,271,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,BA,FULL_12_MONTHS,12,12,5447,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,CE,FULL_12_MONTHS,12,12,3202,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,DF,FULL_12_MONTHS,12,12,287,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,ES,FULL_12_MONTHS,12,12,1023,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,GO,FULL_12_MONTHS,12,12,1191,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,MA,FULL_12_MONTHS,12,12,1774,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,MG,FULL_12_MONTHS,12,12,2399,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,MS,FULL_12_MONTHS,12,12,489,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,MT,FULL_12_MONTHS,12,12,711,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,PA,FULL_12_MONTHS,12,12,2257,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,PB,FULL_12_MONTHS,12,12,1042,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,PE,FULL_12_MONTHS,12,12,3042,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,PI,FULL_12_MONTHS,12,12,665,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,PR,FULL_12_MONTHS,12,12,1839,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,RJ,FULL_12_MONTHS,12,12,3506,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,RN,FULL_12_MONTHS,12,12,1063,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,RO,FULL_12_MONTHS,12,12,421,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,RR,FULL_12_MONTHS,12,12,199,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,RS,FULL_12_MONTHS,12,12,1639,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,SC,FULL_12_MONTHS,12,12,581,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,SE,FULL_12_MONTHS,12,12,542,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,SP,FULL_12_MONTHS,12,12,2701,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2021,TO,FULL_12_MONTHS,12,12,348,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
Homicídio doloso,2022,AC,FULL_12_MONTHS,12,12,197,vítimas,total_vitima,Homicídio doloso,standard_vde_indicator,COMPARABLE
