iso3,country,region,subregion,year,homicide_rate_per_100k,percentile_unweighted,included_common_sample,inclusion_reason
COL,Colombia,Americas,Latin America and the Caribbean,2024,24.3541040593574,88.37209302325581,1,INCLUDED_OBSERVED_BOTH_YEARS
CPV,Cabo Verde,Africa,Sub-Saharan Africa,2024,,,0,MISSING_2024
CRI,Costa Rica,Americas,Latin America and the Caribbean,2024,17.1153100151855,83.72093023255815,1,INCLUDED_OBSERVED_BOTH_YEARS
CUB,Cuba,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2024
CUW,Curaçao,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
CYM,Cayman Islands,Americas,Latin America and the Caribbean,2024,,,0,MISSING_2016_AND_2024
CYP,Cyprus,Asia,Western Asia,2024,0.957091384557846,27.906976744186046,1,INCLUDED_OBSERVED_BOTH_YEARS
CZE,Czechia,Europe,Eastern Europe,2024,0.614762172267724,8.13953488372093,1,INCLUDED_OBSERVED_BOTH_YEARS
DEU,Germany,Europe,Western Europe,2024,0.921323883995885,24.41860465116279,1,INCLUDED_OBSERVED_BOTH_YEARS
DMA,Dominica,Americas,Latin America and the Caribbean,2024,18.1255192206027,84.88372093023256,1,INCLUDED_OBSERVED_BOTH_YEARS
DNK,Denmark,Europe,Northern Europe,2024,0.836482410782459,18.6046511627907,1,INCLUDED_OBSERVED_BOTH_YEARS
DOM,Dominican Republic,Americas,Latin America and the Caribbean,2024,9.11830936393492,76.74418604651163,1,INCLUDED_OBSERVED_BOTH_YEARS
DZA,Algeria,Africa,Northern Africa,2024,1.38205611607093,38.372093023255815,1,INCLUDED_OBSERVED_BOTH_YEARS
ECU,Ecuador,Americas,Latin America and the Caribbean,2024,38.9402484715387,91.86046511627907,1,INCLUDED_OBSERVED_BOTH_YEARS
EGY,Egypt,Africa,Northern Africa,2024,,,0,MISSING_2024
