microrregion_code,microrregion_name,uf,macroregion,start_year,end_year,rate_2016_per_100k,rate_2024_per_100k,delta_rate_2016_2024_per_100k,population_2016,population_2024,bubble_area_points2,population_weighted_fitted_delta,rate_average_2015_2017_per_100k,delta_average_2015_2017_to_2022_2024_per_100k
25017,Campina Grande,PB,Northeast,2016,2024,33.27962215407525,9.224080768139677,-24.05554138593557,531857.0,574583.0,70.91426666666666,-11.587524983149619,35.85213376606608,-24.147054236883598
25018,Itabaiana,PB,Northeast,2016,2024,29.62457582993698,19.684334848430623,-9.940240981506356,111394.0,111764.0,14.852533333333334,-9.770660081264197,29.026968148139282,-3.3331597514026967
25019,Umbuzeiro,PB,Northeast,2016,2024,34.83234641685152,16.700686583781778,-18.131659833069744,54547.0,53890.0,7.2729333333333335,-12.35935930894554,32.99886337248384,-4.207385649889726
25020,Litoral Norte,PB,Northeast,2016,2024,27.718198317109387,37.137983344558656,9.419785027449269,151525.0,158867.0,20.203333333333333,-8.823030397359526,27.060860535365023,6.527703093569066
25021,Sapé,PB,Northeast,2016,2024,30.10148500659366,44.01592957451268,13.914444567919023,139528.0,143130.0,18.603733333333334,-10.007723983500478,36.55459775607332,3.9719631386393885
25022,João Pessoa,PB,Northeast,2016,2024,47.60988704510378,36.71175169681395,-10.898135348289834,1138419.0,1244833.0,151.7892,-18.710869807341155,49.608578359883,-16.60747542828502
25023,Litoral Sul,PB,Northeast,2016,2024,58.78230200538084,80.66424315429457,21.881941148913725,88462.0,92978.0,11.794933333333333,-24.264498081919243,59.54220336300394,14.323032804633577
26001,Araripina,PE,Northeast,2016,2024,35.88971516340466,17.885674766890038,-18.004040396514622,328785.0,335464.0,43.838,-12.884960352980434,34.57443033302984,-14.113353713932629
26002,Salgueiro,PE,Northeast,2016,2024,28.158933715043325,26.271902771114615,-1.8870309439287105,170461.0,175092.0,22.728133333333332,-9.042112894409264,29.92050532408992,-12.815473626328053
26003,Pajeú,PE,Northeast,2016,2024,24.592329015001322,18.291939352058858,-6.3003896629424645,329371.0,344414.0,43.916133333333335,-7.269210905285046,24.188471713657073,-2.409387850819762
26004,Sertão do Moxotó,PE,Northeast,2016,2024,37.457914291065414,28.722220227623595,-8.73569406344182,229591.0,250677.0,30.612133333333333,-13.664486985898256,31.94405724375058,-7.258794345700718
